"alert.close.button": "Close"
"catalog.page.pirate_groups.text_0": "Customize your Pirate Ship with Group Sails and Flags!"
"catalog.page.pirate_groups.text_1": "Click an item for details:"
"catalog.page.pirate_groups": "Group Sails"
"catalog.page.pirate_rares.text_0": "Stock your ship with rare pirate loot. Rare items will appear here for a limited time (usually 6-8 hours). Make sure to check often and check your email for updates."
"catalog.page.pirate_rares.text_1": "Click an item for details:"
"catalog.page.pirate_rares": "Rares"
"catalog.page.quest.QT_DEV_TEST": "Valentines 2011"
"catalog.page.quest.battleball": "Pixel Furni"
"catalog.page.quest.daily": "Shell Gifts"
"catalog.page.quest.explore": "Pixel Furni"
"catalog.page.quest.freeze": "Freeze"
"catalog.page.quest.identity": "Pixel Furni"
"catalog.page.quest.new_user": "Hello Furni"
"catalog.page.quest.pets": "Pixel Pet Accessories"
"catalog.page.quest.room_builder": "Pixel Furni"
"catalog.page.quest.social": "Pixel Furni"
"catalog.page.quest.val11": "Heart Gifts"
"catalog.page.quest.val12": "Heart Shop"
"catalog.page.quest.xmas11": "Snowflake Gifts"
"catalog.page.quest.xmas2013": "Snowflakes Gifts"
"catalog.page.quest_val12": "Heart Shop"
"catalog.page.room_ad": "Room event"
"catalog.page.set_pirates.text_0": "Build your pirate ship and assemble your crew. These accessories are the perfect compliment to a Captain's Bundle."
"catalog.page.set_pirates.text_1": "Click an item for details:"
"catalog.page.set_pirates": "Accessories"
"catalog.page.snowflakes": "Snowflake Gifts"
"catalog.page.song_disk_shop": "Habbo Hotel Hits"
"catalog.page.specialeffects": "Special Effects"
"catalog.page.vault_party.text_0": "Party like a Millionaire with your own walk-in Money Vault. This collection is for Habbos who like to show off in an extreme fashion."
"catalog.page.youtube_tvs.text_0": "These aren't just any Tubes. The Video TVs allow you to select a video from one of our preset playlist. Visitors to your room will see a preview image and double click to view the video."
"catalog.page.youtube_tvs.text_1": "Click an item for details."
"catalog.page.youtube_tvs": "Video TVs"
"catalog.pets.give_name": "Give your pet a name"
"catalog.purchase.confirmation.dialog.amount": "You have %amount%."
"catalog.purchase.confirmation.dialog.buyasgift.checkbox": "This is a gift for:"
"catalog.purchase.confirmation.dialog.buyasgift.greetings.info": "Type your greetings here (don't forget to put your name!):"
"catalog.purchase.confirmation.dialog.cost": "Price:"
"catalog.purchase.confirmation.dialog.costs": "%offer_name% costs %price%."
"catalog.purchase.confirmation.dialog.price.none": "Nothing"
"catalog.purchase.confirmation.dialog.remaining": "You will have %remaining% in your Purse after this purchase."
"catalog.purchase.confirmation.dialog.title": "Order Info"
"catalog.purchase.confirmation.total_price": "Total:"
"catalog.purchase.price.activitypoints.0": "%pixels% Pixels"
"catalog.purchase.price.activitypoints.1": "%activitypoints% Seashells"
"catalog.purchase.price.activitypoints.2": "%activitypoints% Hearts"
"catalog.purchase.price.activitypoints.3": "%activitypoints% gift points"
"catalog.purchase.price.activitypoints.4": "%activitypoints% Shells"
"catalog.purchase.price.credits": "%credits% Credit(s)"
"catalog.purchase.price.credits_and_activitypoints.0": "%credits% Credit(s) + %pixels% Pixels"
"catalog.purchase.price.credits_and_activitypoints.1": "%credits% Credit(s) + %activitypoints% Seashells"
"catalog.purchase.price.credits_and_activitypoints.2": "%credits% Credit(s) + %activitypoints% Hearts"
"catalog.purchase.price.credits_and_activitypoints.4": "%credits% Credit(s) + %activitypoints% Shells"
"catalog.purchase.price.none": "Free!"
"catalog.purchase.publish": "Share in Stream"
"catalog.purchase.select.info": "Select an item!"
"catalog.purchase.youractivitypoints.101": "Seashells: %activitypoints%"
"catalog.purchase.youractivitypoints.103": "Stars: %activitypoints%"
"catalog.purchase.youractivitypoints.104": "Clouds: %activitypoints%"
"catalog.purchase.youractivitypoints.105": "Diamonds: %activitypoints%"
"catalog.purchase.youractivitypoints.1": "Seashells: %activitypoints%"
"catalog.purchase.youractivitypoints.2": "Hearts: %activitypoints%"
"catalog.purchase.youractivitypoints.3": "Gift points: %activitypoints%"
"catalog.purchase.youractivitypoints.4": "Shells: %activitypoints%"
"catalog.purchase.youractivitypoints.5": "Your Diamonds: %activitypoints%"
"catalog.purchase_confirmation.buy.with": "Buy with:"
"catalog.purchase_confirmation.buy": "Buy"
"catalog.purchase_confirmation.cancel": "Cancel"
"catalog.purchase_confirmation.gift.title": "Purchase Gift"
"catalog.purchase_confirmation.gift": "Buy as gift"
"catalog.purchase_confirmation.rent": "Rent"
"catalog.purchase_confirmation.title": "Confirm purchase"
"catalog.purse.club.join": "Join HC >>"
"catalog.purse.clubdays": "Habbo Club: %months%m %days%d >>"
"catalog.purse.creditbalance": "Credits: %balance% >>"
"catalog.purse.pixelbalance": "Pixels: %balance% >>"
"catalog.purse.vipdays": "VIP: %months%m %days%d >>"
"catalog.recycler.button.recycle": "Start!"
"catalog.recycler.button.recycle_again": "Recycle again"
"catalog.redeem.dialog.button.exchange": "Exchange"
"catalog.redeem.dialog.title": "Credits Exchange"
"catalog.restore.products": "Restore purchases"
"catalog.search.header": "Your Search"
"catalog.search.results": "<b>%count% items</b> were found with your search <b>\"
"catalog.search": "Search here"
"catalog.song.length": "Length %min%:%sec% min"
"catalog.spaces.tab.floors": "Floors"
"catalog.spaces.tab.views": "Views"
"catalog.spaces.tab.walls": "Walls"
"catalog.start.guild.purchase.button": "Create Your Group (HC Required)"
"catalog.title": "Shop"
"catalog.vip.buy.confirm.end_date": "Valid until: %month%/%day%/%year%"
"catalog.vip.buy.confirm.extension.days": "%NUM_DAYS%-day HC extension"
"catalog.vip.buy.confirm.extension.months": "%NUM_MONTHS%-month HC extension"
"catalog.vip.buy.confirm.product": "%months%-month HC %{upgrade|extension|subscription|}"
"catalog.vip.buy.confirm.subscription.days": "%NUM_DAYS%-day HC subscription"
"catalog.vip.buy.confirm.subscription.months": "%NUM_MONTHS%-month HC subscription"
"catalog.vip.buy.hccenter": "Find out about HC Payday, gifts, benefits and more in the <a href,\"
"catalog.vip.buy.info": "Get exclusive clothes and hair styles and so much more!"
"catalog.vip.buy.link": "All HC benefits >>"
"catalog.vip.buy.title": "Join HC!"
"catalog.vip.extend.info": "Even though you still have <b>%days% days</b> left of your HC subscription, you can easily extend your life in the fast lane and continue to enjoy the benefits of HC!"
"catalog.vip.extend.title": "Want More HC?"
"catalog.vip.gift.info": "Give the gift of HC to someone you like, and they'll also get a bonus HC Duck!"
"catalog.vip.gift.title": "Give HC as a Gift"
"catalog.vip.item.header.days": "%{NUM_DAYS|0 days|1 day|%% days}"
"catalog.vip.item.header.months": "%{NUM_MONTHS|0 months|1 month|%% months}"
"catalog.voucher.empty.desc": "You didn't enter a voucher code"
"catalog.voucher.empty.title": "Voucher code missing"
"catalog.voucher_prompt": "Enter voucher"
"catalog.voucher_title": "Have a voucher code? Try it here"
"catalog_giftfor": "Gift recipient"
"catalog_selectbadge": "Select Badge"
"catalog_selectproduct": "Select an item"
"catalog_typeurname": "Please type your name"
"extendedprofile.achievementscore": "Achievement score:"
"extendedprofile.activitypoints": "<b>Activity points:</b> %activitypoints%"
"extendedprofile.add.friends.alert.body": "This link will take you to a friend finding room and will cause you to leave the room you are currently in!"
"extendedprofile.add.friends.alert.title": "Leave room?"
"extendedprofile.add.friends": "Add friends"
"extendedprofile.addasafriend": "Add as a friend"
"extendedprofile.caption": "User Profile"
"extendedprofile.created": "<b>Created:</b> %created%"
"extendedprofile.friend": "Friend"
"extendedprofile.friendrequestsent": "Friend request sent"
"extendedprofile.friends.count": "<b>Friends:</b> %count%"
"extendedprofile.friends": "Friends:"
"extendedprofile.groups.count": "<b>Groups:</b> %count%"
"extendedprofile.groupteaser": "Habbo Groups coming soon..."
"extendedprofile.last.login": "<b>Last login:</b> %lastlogin%"
"extendedprofile.lastaccess": "Last logged in:"
"extendedprofile.me": "That's me"
"extendedprofile.motto": "Motto:"
"extendedprofile.no.friends.in.this.category": "No friends in this category"
"extendedprofile.nogroups.info": "Habbo Groups are a great way to get some internet fame!"
"extendedprofile.nogroups.me": "You don't have any group memberships"
"extendedprofile.nogroups.user": "No group memberships"
"extendedprofile.nogroups.viewgroups": "Check out the hottest Groups"
"extendedprofile.relstatus.others.bobba": "and %count% others"
"extendedprofile.relstatus.others.heart": "and %count% others"
"extendedprofile.relstatus.others.smile": "and %count% others"
"extendedprofile.relstatus": "Relationship Status:"
"extendedprofile.rooms": "Rooms"
"extendedprofile.username": "<b>%username%</b>"
"friendlist.actions.toggle": "Select many"
"friendlist.alert.title": "Notice!"
"friendlist.avatarpopup.lastaccess": "Last visit: %last_access%"
"friendlist.avatarpopup.online": "Online"
"friendlist.error.friend_requests_disabled": "Cannot send friend request! Habbo is not accepting new friends."
"friendlist.error.friendlistlimitofrequester": "Cannot send friend request, your friends friend list is full!"
"friendlist.error.friendlistownlimit": "Cannot send friend request, your friend list is full!"
"friendlist.error.requestnotfound": "Cannot send friend request, Habbo was not found!"
"friendlist.follow": "Follow"
"friendlist.followerror.hotelview": "Your friend is not in a room so you cannot follow them."
"friendlist.followerror.notfriend": "The user you tried to follow is not on your friend list anymore, so you cannot follow him/her."
"friendlist.followerror.offline": "Your friend is offline."
"friendlist.followerror.prevented": "Your friend has prevented others from following him/her."
"friendlist.friendrequestsent.text": "%user_name% has been sent your friend request. They will be added to your Friends List if they accept it."
"friendlist.friendrequestsent.title": "Notice!"
"friendlist.friends.all": "All friends"
"friendlist.friends.offlinecaption": "Offline Friends"
"friendlist.friends": "Friends"
"friendlist.invite.emptyalert.text": "Invite friends to this room:"
"friendlist.invite.emptyalert.title": "Notice!"
"friendlist.invite.frequentalert.text": "Please wait 1 minute before sending another room invitation."
"friendlist.invite.frequentalert.title": "Sending too fast"
"friendlist.invite.note": "Make sure you can be followed."
"friendlist.invite.send": "Send"
"friendlist.invite.summary": "Inviting %count% people to this room."
"friendlist.invite.title": "Invitation"
"friendlist.listfull.text": "You have %mylimit% friends which means that you've reached your limit for Habbo friends! For regular Habbos the limit is 300 friends, but if you upgrade your account to HC you get to have 1100 friends in your list!"
"friendlist.listfull.title": "Notice!"
"friendlist.messages": "Messaging"
"friendlist.mobileicon.tooltip": "Your friend is using PocketHabbo"
"friendlist.no.frieds.yet": "No friends yet..."
"friendlist.no.friends.yet": "No friends yet."
"friendlist.offline": "Offline"
"friendlist.online": "Online"
"friendlist.remove_friend": "Remove Friend"
"friendlist.removefriendconfirm.title": "Confirm remove"
"friendlist.removefriendconfirm.userlist": "Remove friends: %user_names%?"
"friendlist.request.accepted": "Accepted"
"friendlist.request.declined": "Declined"
"friendlist.request.failed": "Failed"
"friendlist.request_accept": "Add Friend"
"friendlist.request_decline": "Ignore"
"friendlist.requests.acceptall": "Accept all"
"friendlist.requests.dismissall": "Decline all"
"friendlist.requests.norequests": "No friend requests"
"friendlist.requests": "Friend Requests"
"friendlist.search.friendscaption": "Friends (%cnt%)  :"
"friendlist.search.nofriendsfound": "No friends found"
"friendlist.search.noothersfound": "No users found"
"friendlist.search.otherscaption": "Other Habbos (%cnt%) :"
"friendlist.settings": "Settings"
"friendlist.tab.friendrequests": "Friend Requests"
"friendlist.tip.accept": "Accept"
"friendlist.tip.acceptall": "Accept all"
"friendlist.tip.addfriend": "Send friend request"
"friendlist.tip.compose": "Send minimail"
"friendlist.tip.decline": "Decline"
"friendlist.tip.declineall": "Decline all"
"friendlist.tip.follow": "Follow"
"friendlist.tip.home": "Home page"
"friendlist.tip.im": "Send a message"
"friendlist.tip.inbox": "Minimail inbox"
"friendlist.tip.invite": "Invite friends"
"friendlist.tip.mail": "Send minimail"
"friendlist.tip.preferences": "Edit categories"
"friendlist.tip.relationship": "Relationship"
"friendlist.tip.remove": "Remove friend"
"friendlist.tip.search": "Search users"
"friendlist.tip.searchstr": "Enter search"
"friendlist.tip.tab.1": "Your friends"
"friendlist.tip.tab.2": "Friend requests"
"friendlist.tip.tab.3": "Search for Habbos"
"friendlist.vipicon.tooltip": "You can leave messages to HC members even when they are offline"
"friendlist.weblinkinfo": "Link opened to web page"
"gamecenter.101xp_ig_dev.description_content": "Enter the glamorous world of It Girl. Pick out the hottest clothes and attend the most exclusive parties to make your way to the top of the pack! Play Now!"
"gamecenter.101xp_ig_dev.description_title": "Only for fabulous girls!"
"gamecenter.101xp_ig_dev.name": "It Girl"
"gamecenter.101xp_zombie_dev.description_content": "Explore the island, construct kooky buildings, grow rare and exotic plants, hunt for treasure, fight over brains, and exchange recipes with your friends in this unique social game. Cook up enough Zombium and you might even be able to change back into a living person..."
"gamecenter.101xp_zombie_dev.description_title": "Breathe new life into the undead with some freaky farming fun!"
"gamecenter.101xp_zombie_dev.name": "World of Zombies"
"gamecenter.ChatRepublic_ssk.description_content": "Superstar Streetz is a multiplayer action racing game with tons of cool cars and powerful weapons. Race against your friends or enemies in high-speed combat chases, build your dream cars and garage and hang out in the lobby with your online friends. Play for free now!"
"gamecenter.ChatRepublic_ssk.description_title": "Superstar Streetz Multiplayer"
"gamecenter.ChatRepublic_ssk.name": "STREEZ"
"gamecenter.Seepia_blok.description_content": "Take on other players in a game of skill and cunning! Score points by completing full lines horizontally or vertically, predict your opponents' moves and be victorious! Great rewards for rankings winners."
"gamecenter.Seepia_blok.description_title": "Outsmart your opponents in a true test of skill"
"gamecenter.Seepia_blok.name": "TetraBlok"
"gamecenter.Seepia_duels.description_content": "\\n"
"gamecenter.Seepia_duels.name": "Permia - Duels"
"gamecenter.Sulake_bestofturku.description_content": "This autumn Habbo will work with gaming students in Finland. Students will develop mini-games to be published in Habbo. Here is the first batch! The games have been developed in 16 hours by teams of 2-4 students."
"gamecenter.Sulake_bestofturku.description_title": "Best of Turku 2012"
"gamecenter.Sulake_bestofturku.name": "Best of Turku"
"gamecenter.achievements_title": "YOUR %game% ACHIEVEMENTS"
"gamecenter.basejump.description_content": "Watch Out below! Use  power-ups including missiles, parachutes and shields to safely deliver your food and earn great prizes!"
"gamecenter.basejump.description_title": "It's Coming Down Fast!"
"gamecenter.basejump.name": "FAST FOOD"
"gamecenter.elisa_habbo_stories.description_content": "Read & Create comics in Habbo! This is a beta release, and we are adding new content and features continuously. This is just the beginning! Please give us feedback in upcoming polls, tell us your opinion. Stay tuned!"
"gamecenter.elisa_habbo_stories.description_title": "Habbo Stories Beta"
"gamecenter.elisa_habbo_stories.name": "Stories"
"gamecenter.entering.stories": "Entering Habbo Stories, please hold...."
"gamecenter.featured_player": "BEST PLAYER OF THE WEEK"
"gamecenter.featured_player_points": "%score% points"
"gamecenter.flash_version_required": "You need Flash version %version% to play this game!"
"gamecenter.full_leaderboard_title": "%game% Leaderboard"
"gamecenter.game_info.text": "Habbo's Game center will be closing down 31st March 2014. All the games can be played until that time. Game credits are non-refundable and should be used up by March 31st. Have fun but please keep this in mind when buying new credits to games!"
"gamecenter.game_list_title": "SELECT GAME"
"gamecenter.game_offline": "The game is temporarily unavailable"
"gamecenter.gamesgroup_herozero.description_content": "From Zero to Hero!\\nCreate your own character,\\nbecome the savior of the world and\\nplay against real enemies!"
"gamecenter.gamesgroup_herozero.description_title": "\\n"
"gamecenter.gamesgroup_herozero.name": "Hero Zero"
"gamecenter.introduction_video_link.basejump": ""
"gamecenter.introduction_video_link.snowwar": ""
"gamecenter.introduction_video_link": ""
"gamecenter.leaderboard_empty": "Are you the best among your friends? Here you will see your leaderboard position relative to your friends this week!"
"gamecenter.leaderboard_last_week_title": "PREVIOUS WEEK"
"gamecenter.leaderboard_link": "SHOW THE FULL LEADERBOARD >>"
"gamecenter.leaderboard_my_ranking_link": "VIEW MY RANKING >>"
"gamecenter.leaderboard_score": "%score% points"
"gamecenter.leaderboard_this_week_title": "THIS WEEK"
"gamecenter.leaderboard_title": "FRIEND RANKING"
"gamecenter.leaderboard_top_scores_link": "SHOW TOP SCORES >>"
"gamecenter.lucky_loser_description": "Every week we draw winners at random from players ranked 2 - 100"
"gamecenter.lucky_loser_header": "LUCKY PLAYERS"
"gamecenter.oneday.description_content": "Create pixel art for your friends and try to guess what they're drawing! Habbo Pix can be played with your friends even when they're offline (they just see your drawing the next time they sign in), so pick up your pixel pen and start drawing now!"
"gamecenter.onedraw.description_content": "Play with your online or offline friends! You can leave the game while waiting friends to draw or guess, and return when ever you want. Be creative with pixels and colors, let your friends guess!"
"gamecenter.onedraw.description_title": "Draw and guess with your friends!"
"gamecenter.onedraw.name": "Habbo Pix"
"gamecenter.play_now": "Play now!"
"gamecenter.play_now_desc.limited_games": "%games_left% games left for today. Get UNLIMITED games with HC!"
"gamecenter.previous_winner_header": "PREVIOUS WINNER"
"gamecenter.reward_header": "THE PRIZE OF THE WEEK, VALUE 200 CREDITS!"
"gamecenter.room_link": "Apply to Habbo Games Beta Group!"
"gamecenter.slotcar.description_content": "Habbo Speedway is revved up and ready to go! Strap yourself in and race against friends, use your power-ups to reach pole position and take home the gold!"
"gamecenter.slotcar.description_title": "Ready, Set... GO!"
"gamecenter.slotcar.name": "Speedway"
"gamecenter.snowwar.description_content": "Fast paced action and frosty thrills- it's hit or get hit, and once the snowballs start flying only one team will reign supreme!"
"gamecenter.snowwar.description_title": "Hit or get hit!"
"gamecenter.snowwar.name": "SNOW STORM"
"gamecenter.sublinet_NovaRaider.description_content": "Nova Raider is a massive multiplayer online roleplaying space game. \\nYou are a spacecraft pilote and just escaped an ennemy raid. You're now lost in the vast universe, searching for your mother planet !\\nYou'll encounter many monsters and pirates as you explore the numerous galaxies. Improve your spaceship, gear it up with powerful weapons and choose your vessel's class : raider, tank, support, trader or miner."
"gamecenter.sublinet_NovaRaider.description_title": "Real-time spatial combat"
"gamecenter.sublinet_NovaRaider.name": "Nova Raider"
"gamecenter.sumobit_zoo.description_content": "\\n"
"gamecenter.sumobit_zoo.description_title": ""
"gamecenter.sumobit_zoo.name": "Matchwood"
"gamecenter.waiting.game.title": "Waiting for the game to start?"
"gamecenter.weekly_top_bubble": "Try and beat me - for I am one tough cookie!"
"gamecenter.weekly_top_reward_desc": "Has won"
"gamecenter.weekly_top_title": "WEEKLY TOP PLAYER PRIZE WINNER"
"generic.alert.title": "Notice!"
"generic.back": "Back"
"generic.cancel": "Cancel"
"generic.close": "Close"
"generic.club.required": "You need to be a member of Habbo Club to use this option!"
"generic.error": "Something went wrong."
"generic.error_title": "Oops!"
"generic.failed": "Failed"
"generic.got.it": "Got it"
"generic.hccenter": "HC Center"
"generic.loading": "Loading..."
"generic.minimize": "Minimize"
"generic.no_results_found": "No results found!"
"generic.notice": "Notice"
"generic.notification_title": "Notification!"
"generic.ok": "OK!"
"generic.reason": "Reason:"
"generic.reboot": "Reset"
"generic.reconnecting": "Reconnecting to Habbo, just a moment!"
"generic.restart": "Restart"
"generic.search": "Search"
"generic.start.time": "Start time:"
"generic.submit": "Submit"
"group.admin": "Administrator"
"group.badgepopup.body": "This is a Habbo Group badge. Click to see Group information and to join."
"group.badgepopup.caption": "Favorite Group"
"group.buyfurni": "Buy Group Furni"
"group.change.desc": "Change group description"
"group.change.name": "Change group name"
"group.clearfavourite": "Clear Favorite"
"group.create.confirm.buy": "Purchase"
"group.create.confirm.buyinfo": "Create a group for %amount% credits"
"group.create.confirm.getvip": "Click here to get it."
"group.create.confirm.guildbadge": "Group Badge"
"group.create.confirm.guildcolors": "Group Colors"
"group.create.confirm.info": "Your Group is now set up and ready to go. When you have purchased your Group , you can start inviting users and giving rights to members.<br/><br/><br/><br/>"
"group.create.confirm.viprequired": "HC membership required"
"group.create.nextstep": "Next Step >>"
"group.create.previousstep": "<< Back"
"group.create.stepcaption.1": "Group Identity"
"group.create.stepcaption.2": "Create Your Group's Badge"
"group.create.stepcaption.3": "Select Group Colors"
"group.create.stepcaption.4": "Ready to Go!"
"group.create.stepdesc.1": "Describe Your Group Here"
"group.create.stepdesc.2": "Wear it with pride :)"
"group.create.stepdesc.3": "These colors can be used to customize your Group furniture"
"group.create.stepdesc.4": "Purchase your Group"
"group.create.steplabel.1": "Step 1"
"group.create.steplabel.2": "Step 2"
"group.create.steplabel.3": "Step 3"
"group.create.steplabel.4": "Buy Group"
"group.create.title": "Create Your Group"
"group.created.info": "You have now successfully created your Group and can now start inviting people to join your group and decorate your Homeroom with your friends.<br/><br/>You'll find your group info by <b>clicking your Group's badge</b> in your profile info. From there you can access managing your <b>Group's members, giving admin rights</b> and changing various settings."
"group.created.ok": "Understood!"
"group.created.title": "Welcome to your Group's Homeroom!"
"group.created": "Created %date% by %owner%"
"group.createroom": "No suitable room found? Click here to create a new one!"
"group.delete": "Delete Group"
"group.deletebase.body": "This room is a Group homeroom and cannot be deleted."
"group.deletebase.title": "Cannot delete group homeroom"
"group.deleteconfirm.desc": "Deleting this group will return all furniture (including yours) to the owner's inventory, existing members will be kicked, and if this group has a forum it will be deleted."
"group.deleteconfirm.title": "Are you sure?"
"group.edit.badge.badge": "Group Badge"
"group.edit.badge.base": "Base"
"group.edit.badge.colors": "Colors"
"group.edit.badge.pick.symbol": "Pick a symbol"
"group.edit.badge.position": "Position"
"group.edit.badge.symbol": "Symbol"
"group.edit.base.select.room": "Select Group homeroom"
"group.edit.base.warning": "Choose your Groups homeroom carefully- the homeroom cannot be later changed."
"group.edit.base": "Choose a homeroom for Your Group"
"group.edit.color.guild.color": "Group Color"
"group.edit.color.primary.color": "Primary Color"
"group.edit.color.secondary.color": "Secondary Color"
"group.edit.desc": "Give Your Group a Description"
"group.edit.error.controllers": "The room you selected as your Group homeroom has users with room rights. Group rights will override the current rights settings and this can't be reversed.Are you sure you wish to continue?"
"group.edit.error.no.color.selected": "You have to select a primary and secondary color for your Group."
"group.edit.error.no.name.or.room.selected": "You can't leave the Group name or homeroom empty!"
"group.edit.error.title": "Error editing Group"
"group.edit.error.warning": "Warning"
"group.edit.fail.0": "Room is already a homeroom. Please select another room."
"group.edit.fail.1": "Invalid Group name"
"group.edit.fail.3": "You can only be a member of 100 groups total."
"group.edit.fail.title": "Edit failed"
"group.edit.name": "Name of Your Group:"
"group.edit.reset.badge": "Reset"
"group.edit.reset.color": "Reset"
"group.edit.settings.decoration.admins.help": "Only Group Admins can decorate."
"group.edit.settings.decoration.admins.label": "Admins"
"group.edit.settings.decoration.caption": "Room Decoration"
"group.edit.settings.decoration.members.help": "Members can decorate."
"group.edit.settings.decoration.members.label": "Members"
"group.edit.settings.decoration.owner.help": "Only Group owner can decorate."
"group.edit.settings.decoration.owner.label": "Owner"
"group.edit.settings.rights.caption": "Group rights"
"group.edit.settings.rights.members.help": "All Group members can decorate. If unchecked only Admins and room owner can decorate."
"group.edit.settings.rights.members.label": "Members"
"group.edit.settings.type.caption": "Group Type"
"group.edit.settings.type.exclusive.help": "Group Admins can approve membership requests."
"group.edit.settings.type.exclusive.label": "Exclusive"
"group.edit.settings.type.private.help": "No members accepted at the moment."
"group.edit.settings.type.private.label": "Private"
"group.edit.settings.type.regular.help": "Anyone can join. 5000 member limit."
"group.edit.settings.type.regular.label": "Regular"
"group.edit.settings.web.caption": "Group Pages in Web"
"group.edit.settings.web.link": "Open Group pages in a new browser window."
"group.edit.tab.1": "Identity"
"group.edit.tab.2": "Badge"
"group.edit.tab.3": "Colors"
"group.edit.tab.5": "Settings"
"group.edit.tab.6": "Members"
"group.edit.tabcaption.1": "Group Identity"
"group.edit.tabcaption.2": "Group Badge"
"group.edit.tabcaption.3": "Group Colors"
"group.edit.tabcaption.5": "Group Settings"
"group.edit.tabcaption.6": "Group Members"
"group.edit.tabdesc.1": "Modify your Group identity"
"group.edit.tabdesc.2": "Redesign your Group Badge"
"group.edit.tabdesc.3": "Select new Group colors"
"group.edit.tabdesc.5": "Modify your Group 's type and web forum settings"
"group.edit.tabdesc.6": "Manage your Group 's members and give admin rights"
"group.edit.title": "Modify Your Group"
"group.hcrequired.info.join": "You need to be a <b>HC</b> member  to join more than <b>50</b> Groups."
"group.hcrequired.info.manage": "You need to be a <b>HC</b> member  to <b>manage</b> a Group."
"group.hcrequired.info": "You need to be a <b>HC</b> member to join more than one group."
"group.hcrequired.join": "Join"
"group.hcrequired.moreinfo": "More info about HC>"
"group.hcrequired.title": "HC required"
"group.homepage.url": "${url.prefix}/groups/%groupid%/id"
"group.homepage": "Group homepage >>"
"group.homeroominfo.title": "Group homeroom"
"group.inconstruction.desc": "The Group info window is being improved upon. The new Group info window will be available soon!"
"group.inconstruction.title": "Under Construction"
"group.join.fail.0": "Maximum group size reached. Groups cannot have more than 50,000 members."
"group.join.fail.1": "User Group limit reached. Groups cannot have more than 50,000 members."
"group.join.fail.2": "Group is closed"
"group.join.fail.3": "Too many pending requests"
"group.join.fail.title": "Joining failed"
"group.join": "Join Group"
"group.joinfail.0": "This Group is full"
"group.joinfail.1": "You can only be a member of 100 Groups total."
"group.joinfail.2": "This Group is closed"
"group.joinfail.3": "This Group cannot accept membership requests at the moment."
"group.joinfail.5": "Habbo cannot join any more groups because he/ she is not a HC member. Without a HC subscription, Habbos can only join 50 groups."
"group.joinfail.6": "Habbo cannot join any more groups. He/she has reached the maximum memberships limit, which is 100."
"group.joinfail.title": "Joining Failed"
"group.kickconfirm.desc": "%user% has %amount% Furnis in the Group homeroom. Are you sure you want to remove this Habbo from the Group?"
"group.kickconfirm.title": "Confirm removal from Group"
"group.kickconfirm_nofurni.desc": "Are you sure you want to kick %user% from this Group?"
"group.leave": "Leave Group"
"group.leaveconfirm.desc": "Are you sure you want to leave the Group?"
"group.leaveconfirm.title": "Confirm leaving"
"group.leaveconfirm_nofurni.desc": "Are you sure you want to leave the Group?"
"group.linktobase": "Go to Group homeroom"
"group.linktoforum": "View forum"
"group.list.groupcount": "%count% Groups."
"group.list.page": "Showing Groups %span%."
"group.logo.url.template": "${url.prefix}/habbo-imaging/badge-fill/%imagerdata%.gif"
"group.makefavourite": "Make it a Favorite"
"group.manage": "Manage"
"group.member": "Member"
"group.membercount": "Members: %totalMembers%"
"group.membermgmt.fail.0": "This user is no longer member of the group."
"group.membermgmt.fail.1": "This user has already been rejected by one of the other admins"
"group.membermgmt.fail.2": "This user has already been accepted by one of the other admins"
"group.membermgmt.fail.title": "Operation failed"
"group.members.accept": "Accept membership"
"group.members.acceptall": "Accept all"
"group.members.filter": "Search members:"
"group.members.giverights": "Give Admin Rights"
"group.members.kick": "Remove from Group."
"group.members.members": "Members (%count%)"
"group.members.owner": "Group Owner"
"group.members.pageinfo": "%amount% matching users. Page %page% / %totalPages%"
"group.members.pendingmembers": "Pending Members (%count%)"
"group.members.reject": "Reject membership"
"group.members.removerights": "Remove rights"
"group.members.search.admins": "Show only admins"
"group.members.search.all": "Show all members"
"group.members.search.members": "Show non-admin members"
"group.members.search.pending": "Show membership requests"
"group.members.searchinfo": "Search for user..."
"group.members.showinfo": "Show extended profile"
"group.members.since": "Joined %date%"
"group.members.title": "%groupName% Members"
"group.memberscandecorate": "Group members can decorate the homeroom of this Group"
"group.membershippending": "Membership requested"
"group.owner": "Owner"
"group.owngroups.title": "Your Habbo Groups"
"group.pendingmembercount": "Pending: %amount%"
"group.privileges": "Privileges: %privileges%"
"group.requestmembership": "Request membership"
"group.room.link": "Group's room: %room_name% >>>"
"group.showforum": "View group forum"
"group.showgroups": "View Most Popular Groups"
"group.showmygroups": "Show my Groups"
"group.title": "Habbo Group"
"group.window.title": "Habbo Groups"
"group.youareadmin": "You are an administrator of this Group"
"group.youaremember": "You are a member of this Group"
"group.youareowner": "You are the owner of this Group"
"infostand.ambassador.alert": "Send alert"
"infostand.button.add_riding_permission": "Allow anyone to ride"
"infostand.button.ban": "Ban"
"infostand.button.ban_day": "Ban for a day"
"infostand.button.ban_hour": "Ban for an hour"
"infostand.button.breed": "Breed"
"infostand.button.bullying": "Bullying"
"infostand.button.buy": "Buy one"
"infostand.button.buy_saddle": "Buy Saddle"
"infostand.button.buyfood": "Buy Food"
"infostand.button.buyout": "Buy-out"
"infostand.button.cfh.other": "Other threat"
"infostand.button.cfh.pii": "Asking personal info"
